"","Date","Deces","Annee"
"383",2020-03-26,1,2004
"384",2020-03-31,2,2004
"385",2020-04-01,2,2004
"386",2020-04-02,1,2004
"387",2020-04-08,1,2004
"388",2020-04-09,1,2004
"389",2020-04-11,1,2004
"390",2020-04-15,1,2004
"391",2020-04-17,1,2004
"392",2020-04-25,1,2004
"393",2020-05-03,1,2004
"394",2020-05-16,1,2004
"395",2020-05-18,1,2004
"396",2020-05-24,2,2004
"397",2020-06-16,1,2004
"398",2020-06-19,1,2004
"399",2020-06-23,1,2004
"400",2020-06-27,1,2004
"401",2020-06-28,1,2004
"402",2020-06-29,1,2004
"403",2020-07-12,1,2004
"404",2020-07-14,1,2004
"405",2020-07-20,1,2004
"406",2020-07-24,1,2004
"407",2020-08-07,1,2004
"408",2020-08-08,1,2004
"409",2020-08-10,1,2004
"410",2020-08-17,1,2004
"411",2020-08-21,1,2004
"412",2020-09-14,1,2004
"413",2020-09-15,1,2004
"414",2020-09-18,1,2004
"415",2020-10-14,1,2004
"416",2020-10-17,1,2004
"417",2020-10-18,1,2004
"418",2020-10-23,1,2004
"419",2020-11-12,1,2004
"420",2020-12-09,1,2004
"421",2020-12-18,1,2004
"422",2020-12-19,1,2004
"423",2020-12-20,1,2004
"424",2020-01-04,1,2005
"425",2020-01-07,1,2005
"426",2020-01-08,1,2005
"427",2020-01-10,1,2005
"428",2020-01-15,1,2005
"429",2020-01-20,1,2005
"430",2020-01-27,1,2005
"431",2020-01-29,1,2005
"432",2020-01-31,1,2005
"433",2020-02-09,1,2005
"434",2020-03-02,1,2005
"435",2020-03-03,1,2005
"436",2020-03-07,1,2005
"437",2020-03-09,1,2005
"438",2020-03-11,1,2005
"439",2020-03-22,1,2005
"440",2020-04-02,1,2005
"441",2020-04-17,1,2005
"442",2020-04-24,2,2005
"443",2020-04-25,2,2005
"444",2020-05-05,1,2005
"445",2020-05-10,1,2005
"446",2020-05-15,1,2005
"447",2020-05-23,1,2005
"448",2020-06-01,1,2005
"449",2020-06-06,1,2005
"450",2020-06-08,1,2005
"451",2020-06-17,1,2005
"452",2020-06-28,1,2005
"453",2020-06-30,1,2005
"454",2020-07-06,3,2005
"455",2020-07-10,1,2005
"456",2020-07-14,1,2005
"457",2020-07-15,1,2005
"458",2020-07-22,1,2005
"459",2020-07-24,1,2005
"460",2020-07-30,1,2005
"461",2020-08-12,1,2005
"462",2020-08-19,1,2005
"463",2020-08-21,1,2005
"464",2020-08-31,1,2005
"465",2020-09-02,1,2005
"466",2020-09-10,1,2005
"467",2020-09-13,1,2005
"468",2020-09-18,2,2005
"469",2020-09-21,1,2005
"470",2020-09-23,1,2005
"471",2020-09-29,1,2005
"472",2020-09-30,1,2005
"473",2020-10-07,1,2005
"474",2020-10-10,1,2005
"475",2020-10-16,1,2005
"476",2020-10-20,1,2005
"477",2020-10-23,1,2005
"478",2020-10-27,1,2005
"479",2020-10-28,1,2005
"480",2020-10-31,1,2005
"481",2020-11-08,1,2005
"482",2020-11-09,2,2005
"483",2020-11-21,1,2005
"484",2020-11-24,1,2005
"485",2020-12-18,1,2005
"486",2020-12-20,1,2005
"487",2020-12-25,1,2005
"488",2020-12-26,1,2005
"489",2020-12-30,1,2005
"490",2020-01-04,1,2006
"491",2020-01-15,1,2006
"492",2020-01-17,2,2006
"493",2020-01-19,1,2006
"494",2020-01-31,1,2006
"495",2020-02-04,2,2006
"496",2020-02-06,1,2006
"497",2020-02-11,1,2006
"498",2020-02-27,1,2006
"499",2020-02-28,1,2006
"500",2020-03-16,1,2006
"501",2020-03-20,1,2006
"502",2020-03-22,1,2006
"503",2020-03-23,1,2006
"504",2020-03-29,1,2006
"505",2020-04-17,1,2006
"506",2020-04-19,1,2006
"507",2020-04-20,1,2006
"508",2020-04-21,1,2006
"509",2020-04-30,1,2006
"510",2020-05-22,1,2006
"511",2020-05-27,1,2006
"512",2020-06-12,1,2006
"513",2020-06-19,1,2006
"514",2020-06-26,1,2006
"515",2020-06-27,1,2006
"516",2020-06-28,1,2006
"517",2020-07-01,1,2006
"518",2020-07-04,1,2006
"519",2020-07-05,1,2006
"520",2020-07-09,3,2006
"521",2020-07-11,1,2006
"522",2020-07-14,1,2006
"523",2020-07-15,1,2006
"524",2020-07-16,1,2006
"525",2020-07-22,1,2006
"526",2020-07-26,1,2006
"527",2020-07-30,1,2006
"528",2020-08-03,1,2006
"529",2020-08-05,1,2006
"530",2020-08-08,1,2006
"531",2020-08-17,1,2006
"532",2020-08-19,1,2006
"533",2020-09-05,1,2006
"534",2020-09-06,2,2006
"535",2020-09-26,1,2006
"536",2020-09-27,1,2006
"537",2020-10-01,1,2006
"538",2020-10-12,2,2006
"539",2020-10-19,1,2006
"540",2020-10-24,1,2006
"541",2020-10-30,1,2006
"542",2020-10-31,1,2006
"543",2020-11-17,1,2006
"544",2020-11-22,1,2006
"545",2020-12-01,2,2006
"546",2020-12-02,1,2006
"547",2020-12-04,1,2006
"548",2020-12-07,2,2006
"549",2020-12-19,1,2006
"550",2020-12-28,1,2006
"551",2020-12-29,1,2006
"552",2020-01-03,1,2007
"553",2020-01-06,1,2007
"554",2020-01-16,1,2007
"555",2020-01-18,1,2007
"556",2020-01-27,1,2007
"557",2020-02-04,1,2007
"558",2020-02-07,1,2007
"559",2020-02-20,1,2007
"560",2020-03-03,1,2007
"561",2020-03-16,1,2007
"562",2020-03-17,1,2007
"563",2020-03-24,1,2007
"564",2020-03-28,1,2007
"565",2020-04-05,1,2007
"566",2020-04-07,1,2007
"567",2020-04-08,1,2007
"568",2020-04-10,1,2007
"569",2020-04-12,1,2007
"570",2020-04-19,1,2007
"571",2020-04-21,1,2007
"572",2020-04-28,1,2007
"573",2020-04-30,1,2007
"574",2020-05-12,1,2007
"575",2020-06-04,1,2007
"576",2020-06-07,1,2007
"577",2020-06-28,1,2007
"578",2020-07-03,1,2007
"579",2020-07-07,1,2007
"580",2020-07-09,1,2007
"581",2020-07-10,1,2007
"582",2020-07-15,1,2007
"583",2020-07-21,2,2007
"584",2020-07-22,1,2007
"585",2020-07-26,1,2007
"586",2020-08-04,1,2007
"587",2020-08-05,1,2007
"588",2020-08-06,1,2007
"589",2020-08-09,1,2007
"590",2020-08-12,1,2007
"591",2020-08-14,1,2007
"592",2020-08-19,1,2007
"593",2020-08-23,2,2007
"594",2020-08-27,1,2007
"595",2020-09-06,1,2007
"596",2020-09-08,1,2007
"597",2020-09-19,2,2007
"598",2020-09-20,2,2007
"599",2020-09-26,1,2007
"600",2020-09-27,1,2007
"601",2020-10-01,1,2007
"602",2020-10-07,1,2007
"603",2020-10-10,2,2007
"604",2020-10-17,1,2007
"605",2020-10-29,1,2007
"606",2020-11-09,1,2007
"607",2020-11-12,1,2007
"608",2020-11-17,2,2007
"609",2020-11-18,1,2007
"610",2020-11-25,1,2007
"611",2020-12-01,1,2007
"612",2020-12-08,1,2007
"613",2020-12-11,1,2007
"614",2020-12-12,1,2007
"615",2020-12-14,1,2007
"616",2020-12-16,1,2007
"617",2020-12-17,1,2007
"618",2020-12-22,1,2007
"619",2020-12-24,1,2007
"620",2020-12-27,1,2007
"621",2020-01-01,1,2008
"622",2020-01-08,1,2008
"623",2020-01-18,1,2008
"624",2020-01-21,1,2008
"625",2020-01-25,1,2008
"626",2020-01-26,1,2008
"627",2020-02-03,1,2008
"628",2020-02-11,1,2008
"629",2020-02-12,1,2008
"630",2020-02-16,1,2008
"631",2020-02-18,1,2008
"632",2020-02-21,1,2008
"633",2020-02-24,1,2008
"634",2020-02-25,1,2008
"635",2020-02-26,1,2008
"636",2020-02-27,1,2008
"637",2020-02-29,1,2008
"638",2020-03-03,1,2008
"639",2020-03-14,1,2008
"640",2020-03-19,1,2008
"641",2020-03-21,1,2008
"642",2020-03-24,1,2008
"643",2020-03-25,1,2008
"644",2020-03-27,1,2008
"645",2020-04-02,1,2008
"646",2020-04-16,1,2008
"647",2020-04-17,1,2008
"648",2020-04-18,1,2008
"649",2020-04-30,1,2008
"650",2020-05-03,3,2008
"651",2020-05-13,1,2008
"652",2020-05-15,2,2008
"653",2020-05-17,1,2008
"654",2020-05-23,1,2008
"655",2020-05-27,1,2008
"656",2020-05-30,1,2008
"657",2020-06-06,1,2008
"658",2020-06-09,1,2008
"659",2020-06-10,1,2008
"660",2020-06-11,2,2008
"661",2020-06-15,1,2008
"662",2020-06-16,1,2008
"663",2020-06-17,1,2008
"664",2020-06-21,1,2008
"665",2020-06-22,1,2008
"666",2020-06-23,1,2008
"667",2020-06-29,1,2008
"668",2020-07-04,1,2008
"669",2020-07-11,1,2008
"670",2020-07-14,1,2008
"671",2020-07-19,1,2008
"672",2020-07-22,1,2008
"673",2020-07-26,1,2008
"674",2020-08-04,2,2008
"675",2020-08-05,1,2008
"676",2020-08-16,1,2008
"677",2020-08-18,2,2008
"678",2020-08-23,1,2008
"679",2020-08-25,2,2008
"680",2020-08-27,1,2008
"681",2020-08-31,1,2008
"682",2020-09-10,1,2008
"683",2020-09-12,1,2008
"684",2020-09-17,1,2008
"685",2020-09-22,1,2008
"686",2020-09-28,1,2008
"687",2020-10-03,1,2008
"688",2020-10-04,2,2008
"689",2020-10-11,1,2008
"690",2020-10-14,1,2008
"691",2020-10-15,1,2008
"692",2020-10-19,2,2008
"693",2020-10-21,1,2008
"694",2020-10-22,1,2008
"695",2020-10-30,1,2008
"696",2020-11-05,1,2008
"697",2020-11-06,1,2008
"698",2020-11-12,2,2008
"699",2020-11-24,1,2008
"700",2020-11-26,1,2008
"701",2020-11-28,2,2008
"702",2020-12-01,1,2008
"703",2020-12-03,1,2008
"704",2020-12-06,1,2008
"705",2020-12-07,1,2008
"706",2020-12-09,1,2008
"707",2020-12-10,1,2008
"708",2020-12-14,1,2008
"709",2020-12-16,1,2008
"710",2020-12-22,1,2008
"711",2020-12-25,1,2008
"712",2020-12-26,1,2008
"713",2020-12-28,1,2008
"714",2020-12-30,2,2008
"715",2020-01-01,1,2009
"716",2020-01-03,1,2009
"717",2020-01-04,3,2009
"718",2020-01-06,1,2009
"719",2020-01-08,1,2009
"720",2020-01-09,1,2009
"721",2020-01-12,1,2009
"722",2020-01-13,1,2009
"723",2020-01-14,1,2009
"724",2020-01-18,2,2009
"725",2020-01-22,1,2009
"726",2020-01-25,1,2009
"727",2020-01-28,1,2009
"728",2020-01-31,2,2009
"729",2020-02-02,1,2009
"730",2020-02-08,2,2009
"731",2020-02-10,1,2009
"732",2020-02-13,3,2009
"733",2020-02-20,2,2009
"734",2020-02-26,1,2009
"735",2020-03-05,1,2009
"736",2020-03-06,1,2009
"737",2020-03-07,1,2009
"738",2020-03-15,1,2009
"739",2020-03-16,1,2009
"740",2020-03-20,1,2009
"741",2020-03-21,1,2009
"742",2020-03-31,2,2009
"743",2020-04-03,1,2009
"744",2020-04-04,1,2009
"745",2020-04-09,1,2009
"746",2020-04-10,1,2009
"747",2020-04-13,1,2009
"748",2020-04-25,1,2009
"749",2020-04-28,1,2009
"750",2020-05-03,2,2009
"751",2020-05-04,1,2009
"752",2020-05-08,1,2009
"753",2020-05-15,1,2009
"754",2020-05-16,1,2009
"755",2020-05-19,1,2009
"756",2020-05-23,1,2009
"757",2020-05-27,1,2009
"758",2020-05-31,2,2009
"759",2020-06-06,1,2009
"760",2020-06-08,1,2009
"761",2020-06-10,1,2009
"762",2020-06-14,2,2009
"763",2020-06-18,1,2009
"764",2020-06-20,1,2009
"765",2020-06-22,1,2009
"766",2020-06-26,2,2009
"767",2020-06-27,1,2009
"768",2020-07-02,1,2009
"769",2020-07-08,1,2009
"770",2020-07-19,1,2009
"771",2020-07-29,2,2009
"772",2020-08-02,1,2009
"773",2020-08-03,1,2009
"774",2020-08-11,1,2009
"775",2020-08-15,1,2009
"776",2020-08-20,1,2009
"777",2020-08-25,1,2009
"778",2020-08-28,2,2009
"779",2020-09-13,1,2009
"780",2020-09-14,1,2009
"781",2020-09-15,1,2009
"782",2020-10-11,1,2009
"783",2020-10-14,1,2009
"784",2020-10-17,1,2009
"785",2020-10-20,1,2009
"786",2020-10-23,1,2009
"787",2020-11-06,1,2009
"788",2020-11-07,1,2009
"789",2020-11-14,1,2009
"790",2020-11-15,1,2009
"791",2020-11-16,1,2009
"792",2020-11-17,1,2009
"793",2020-11-18,1,2009
"794",2020-11-19,1,2009
"795",2020-11-21,1,2009
"796",2020-11-24,1,2009
"797",2020-11-27,2,2009
"798",2020-11-28,2,2009
"799",2020-11-29,1,2009
"800",2020-11-30,1,2009
"801",2020-12-02,1,2009
"802",2020-12-07,1,2009
"803",2020-12-08,1,2009
"804",2020-12-10,1,2009
